variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3
bldstds_yearadopted,1991-2008,Environmental building standards,0 = policy not adopted 1 = policy adopted,"Matisoff, Daniel C., and Jason Edwards. 'Kindred spirits or intergovernmental competition? The innovation and diffusion of energy policies in the American states (1990–2008).' Environmental Politics 23.5 (2014): 795–817.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",environment,NA,NA,NA,NA,NA,NA
corporateeff_yearadopted,1990-2008,Corporate tax credits for efficiency; financial incentives for certain energy- efficient equipment installed and placed into service,0 = policy not adopted 1 = policy adopted,"Matisoff, Daniel C., and Jason Edwards. 'Kindred spirits or intergovernmental competition? The innovation and diffusion of energy policies in the American states (1990–2008).' Environmental Politics 23.5 (2014): 795–817.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",environment,NA,NA,NA,NA,NA,NA
corporaterenew_yearadopted,1990-2008,Tax credits for renewable technologies,0 = policy not adopted 1 = policy adopted,"Matisoff, Daniel C., and Jason Edwards. 'Kindred spirits or intergovernmental competition? The innovation and diffusion of energy policies in the American states (1990–2008).' Environmental Politics 23.5 (2014): 795–817.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",environment,NA,NA,NA,NA,NA,NA
netmeter_yearadopted,1990-2008,Implement on- site renewable energy generation,0 = policy not adopted 1 = policy adopted,"Matisoff, Daniel C., and Jason Edwards. 'Kindred spirits or intergovernmental competition? The innovation and diffusion of energy policies in the American states (1990–2008).' Environmental Politics 23.5 (2014): 795–817.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",environment,NA,NA,NA,NA,NA,NA
personaltax_yearadopted,1990-2008,Residential tax credits for renewable energy systems,0 = policy not adopted 1 = policy adopted,"Matisoff, Daniel C., and Jason Edwards. 'Kindred spirits or intergovernmental competition? The innovation and diffusion of energy policies in the American states (1990–2008).' Environmental Politics 23.5 (2014): 795–817.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",environment,NA,NA,NA,NA,NA,NA
personaltaxeff_yearadopted,1990-2008,Residential tax credits for efficiency,0 = policy not adopted 1 = policy adopted,"Matisoff, Daniel C., and Jason Edwards. 'Kindred spirits or intergovernmental competition? The innovation and diffusion of energy policies in the American states (1990–2008).' Environmental Politics 23.5 (2014): 795–817.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",environment,NA,NA,NA,NA,NA,NA
pubbenefits_yearadopted,1996-2005,Collect public benefit fund,0 = policy not adopted 1 = policy adopted,"Matisoff, Daniel C., and Jason Edwards. 'Kindred spirits or intergovernmental competition? The innovation and diffusion of energy policies in the American states (1990–2008).' Environmental Politics 23.5 (2014): 795–817.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",environment,NA,NA,NA,NA,NA,NA
rps_yearadopted,1997-2008,Renewable portfolio standard,0 = policy not adopted 1 = policy adopted,"Matisoff, Daniel C., and Jason Edwards. 'Kindred spirits or intergovernmental competition? The innovation and diffusion of energy policies in the American states (1990–2008).' Environmental Politics 23.5 (2014): 795–817.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",environment,NA,NA,NA,NA,NA,NA
bottle,1971-2002,Bottle deposit law,"Did state adopt a bottle deposit law? (0
= no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329.",environment,"Boehmke, Frederick J., and Paul Skinner. ""State policy innovativeness revisited."" State Politics & Policy Quarterly 12.3 (2012): 303-329.","@article{boehmke2012state,
  title={State policy innovativeness revisited},
  author={Boehmke, Frederick J and Skinner, Paul},
  journal={State Politics \& Policy Quarterly},
  volume={12},
  number={3},
  pages={303--329},
  year={2012},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}",NA,NA,NA,NA
elecdereg,1996-1999,Electricity deregulation,"Did state adopt electricity deregulation? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329.",environment,"Boehmke, Frederick J., and Paul Skinner. ""State policy innovativeness revisited."" State Politics & Policy Quarterly 12.3 (2012): 303-329.","@article{boehmke2012state,
  title={State policy innovativeness revisited},
  author={Boehmke, Frederick J and Skinner, Paul},
  journal={State Politics \& Policy Quarterly},
  volume={12},
  number={3},
  pages={303--329},
  year={2012},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}",NA,NA,NA,NA
environ,1978-1991,Strategic planning for environmental protection,"Did state adopt strategic planning for environmental protection? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329.",environment,"Boehmke, Frederick J., and Paul Skinner. ""State policy innovativeness revisited."" State Politics & Policy Quarterly 12.3 (2012): 303-329.","@article{boehmke2012state,
  title={State policy innovativeness revisited},
  author={Boehmke, Frederick J and Skinner, Paul},
  journal={State Politics \& Policy Quarterly},
  volume={12},
  number={3},
  pages={303--329},
  year={2012},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}",NA,NA,NA,NA
natreso,1975-1991,Strategic planning for natural resources,"Did state adopt strategic planning for natural resources? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329.",environment,"Boehmke, Frederick J., and Paul Skinner. ""State policy innovativeness revisited."" State Politics & Policy Quarterly 12.3 (2012): 303-329.","@article{boehmke2012state,
  title={State policy innovativeness revisited},
  author={Boehmke, Frederick J and Skinner, Paul},
  journal={State Politics \& Policy Quarterly},
  volume={12},
  number={3},
  pages={303--329},
  year={2012},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}",NA,NA,NA,NA
renewport,1991-2004,State renewable portfolio standards,"Did state adopt state renewable portfolio standards? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329.",environment,"Boehmke, Frederick J., and Paul Skinner. ""State policy innovativeness revisited."" State Politics & Policy Quarterly 12.3 (2012): 303-329.","@article{boehmke2012state,
  title={State policy innovativeness revisited},
  author={Boehmke, Frederick J and Skinner, Paul},
  journal={State Politics \& Policy Quarterly},
  volume={12},
  number={3},
  pages={303--329},
  year={2012},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}",NA,NA,NA,NA
soil,1937-1974,Soil conservation districts,"Did state adopt soil conservation districts? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329.",environment,"Boehmke, Frederick J., and Paul Skinner. ""State policy innovativeness revisited."" State Politics & Policy Quarterly 12.3 (2012): 303-329.","@article{boehmke2012state,
  title={State policy innovativeness revisited},
  author={Boehmke, Frederick J and Skinner, Paul},
  journal={State Politics \& Policy Quarterly},
  volume={12},
  number={3},
  pages={303--329},
  year={2012},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}",NA,NA,NA,NA
environmental_covenants_act,2004-2010,Provides clear rules for a perpetual real estate interest— an environmental covenant—to regulate the use of brownfields when real estate is transferred from one owner to another,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",environment,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA
transboundary_pollution_reciproc,1983-1992,Overcomes procedural obstacles that prevent a pollution victim in one state or province from seeking enforceable remedies in the state or province where the pollution originated,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",environment,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA
ewaste,2003-2011,State e-waste disposal programs,0 = policy not adopted 1 = policy adopted,"Mallinson, Daniel J. 'Building a better speed trap: Measuring policy adoption speed in the American states.' State Politics & Policy Quarterly 16.1 (2016): 98-120.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",environment,NA,NA,NA,NA,NA,NA
environment_air_pollution_contro,1947-1967,Air pollution control acts (pre- CAA),"Does the state have an air pollution control act (pre-Clean Air Act)? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB",environment,NA,NA,NA,NA,NA,NA
environment_bottlebill,1970-2014,Bottle bill,"Does the state require a deposit on bottles paid by the consumer and refunded when the consumer recycles? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB",environment,NA,NA,NA,NA,NA,NA
